номер_опоры;материал_основания;горизонтальный/вертикальный;крепление_к;тип_воздуховода;диаметр/ширина;Ключ
Н7.0.3-2.3.6;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;710;Металлоконструкции (швелер)ГоризонтальныйНетДа710
Н7.0.3-2.3.7;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;800;Металлоконструкции (швелер)ГоризонтальныйНетДа800
Н7.0.3-2.3.8;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;900;Металлоконструкции (швелер)ГоризонтальныйНетДа900
Н7.0.3-2.3.9;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;1000;Металлоконструкции (швелер)ГоризонтальныйНетДа1000
Н7.0.3-2.3.10;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;1120;Металлоконструкции (швелер)ГоризонтальныйНетДа1120
Н7.0.3-2.3.11;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;1250;Металлоконструкции (швелер)ГоризонтальныйНетДа1250
Н7.0.3-2.3.12;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;1400;Металлоконструкции (швелер)ГоризонтальныйНетДа1400
Н7.0.3-2.9.1;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;100;Металлоконструкции (двутавр)ГоризонтальныйНетДа100
Н7.0.3-2.9.2;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;125;Металлоконструкции (двутавр)ГоризонтальныйНетДа125
Н7.0.3-2.9.3;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;140;Металлоконструкции (двутавр)ГоризонтальныйНетДа140
Н7.0.3-2.9.4;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;150;Металлоконструкции (двутавр)ГоризонтальныйНетДа150
Н7.0.3-2.9.5;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;160;Металлоконструкции (двутавр)ГоризонтальныйНетДа160
Н7.0.3-2.9.6;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;180;Металлоконструкции (двутавр)ГоризонтальныйНетДа180
Н7.0.3-2.9.7;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;200;Металлоконструкции (двутавр)ГоризонтальныйНетДа200
Н7.0.3-2.9.8;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;224;Металлоконструкции (двутавр)ГоризонтальныйНетДа224
Н7.0.3-2.9.9;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;250;Металлоконструкции (двутавр)ГоризонтальныйНетДа250
Н7.0.3-2.9.10;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;280;Металлоконструкции (двутавр)ГоризонтальныйНетДа280
Н7.0.3-2.9.11;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;300;Металлоконструкции (двутавр)ГоризонтальныйНетДа300
Н7.0.3-2.9.12;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;315;Металлоконструкции (двутавр)ГоризонтальныйНетДа315
Н7.0.3-2.9.13;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;355;Металлоконструкции (двутавр)ГоризонтальныйНетДа355
Н7.0.3-2.9.14;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;400;Металлоконструкции (двутавр)ГоризонтальныйНетДа400
Н7.0.3-2.11.1;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;450;Металлоконструкции (двутавр)ГоризонтальныйНетДа450
Н7.0.3-2.11.2;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;500;Металлоконструкции (двутавр)ГоризонтальныйНетДа500
Н7.0.3-2.11.3;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;560;Металлоконструкции (двутавр)ГоризонтальныйНетДа560
Н7.0.3-2.11.4;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;600;Металлоконструкции (двутавр)ГоризонтальныйНетДа600
Н7.0.3-2.11.5;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;630;Металлоконструкции (двутавр)ГоризонтальныйНетДа630
Н7.0.3-2.11.6;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;710;Металлоконструкции (двутавр)ГоризонтальныйНетДа710
Н7.0.3-2.11.7;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;800;Металлоконструкции (двутавр)ГоризонтальныйНетДа800
Н7.0.3-2.11.8;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;900;Металлоконструкции (двутавр)ГоризонтальныйНетДа900
Н7.0.3-2.11.9;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;1000;Металлоконструкции (двутавр)ГоризонтальныйНетДа1000
Н7.0.3-2.11.10;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;1120;Металлоконструкции (двутавр)ГоризонтальныйНетДа1120
Н7.0.3-2.11.11;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;1250;Металлоконструкции (двутавр)ГоризонтальныйНетДа1250
Н7.0.3-2.21.1;Металлоконструкции (швелер);Горизонтальный;Потолок;Прямоугольный;200;Металлоконструкции (швелер)ГоризонтальныйНетНет200
Н7.0.3-2.21.2;Металлоконструкции (швелер);Горизонтальный;Потолок;Прямоугольный;400;Металлоконструкции (швелер)ГоризонтальныйНетНет400
Н7.0.3-2.21.3;Металлоконструкции (швелер);Горизонтальный;Потолок;Прямоугольный;600;Металлоконструкции (швелер)ГоризонтальныйНетНет600
Н7.0.3-2.21.4;Металлоконструкции (швелер);Горизонтальный;Потолок;Прямоугольный;800;Металлоконструкции (швелер)ГоризонтальныйНетНет800
Н7.0.3-2.21.5;Металлоконструкции (швелер);Горизонтальный;Потолок;Прямоугольный;1000;Металлоконструкции (швелер)ГоризонтальныйНетНет1000
Н7.0.3-2.21.6;Металлоконструкции (швелер);Горизонтальный;Потолок;Прямоугольный;1200;Металлоконструкции (швелер)ГоризонтальныйНетНет1200
Н7.0.3-2.21.7;Металлоконструкции (швелер);Горизонтальный;Потолок;Прямоугольный;1400;Металлоконструкции (швелер)ГоризонтальныйНетНет1400
Н7.0.3-2.21.8;Металлоконструкции (швелер);Горизонтальный;Потолок;Прямоугольный;1600;Металлоконструкции (швелер)ГоризонтальныйНетНет1600
Н7.0.3-2.21.9;Металлоконструкции (швелер);Горизонтальный;Потолок;Прямоугольный;1800;Металлоконструкции (швелер)ГоризонтальныйНетНет1800
Н7.0.3-2.21.10;Металлоконструкции (швелер);Горизонтальный;Потолок;Прямоугольный;2000;Металлоконструкции (швелер)ГоризонтальныйНетНет2000
Н7.0.3-2.39.1;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Прямоугольный;200;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетНет200
Н7.0.3-2.39.2;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Прямоугольный;400;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетНет400
Н7.0.3-2.39.3;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Прямоугольный;600;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетНет600
Н7.0.3-2.39.4;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Прямоугольный;800;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетНет800
Н7.0.3-2.39.5;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Прямоугольный;1000;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетНет1000
Н7.0.3-2.42-1;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;100;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа100
Н7.0.3-2.42-2;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;125;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа125
Н7.0.3-2.42-3;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;140;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа140
Н7.0.3-2.42-4;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;150;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа150
Н7.0.3-2.42-5;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;160;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа160
Н7.0.3-2.42-6;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;180;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа180
Н7.0.3-2.42-7;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;200;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа200
Н7.0.3-2.42-8;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;224;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа224
Н7.0.3-2.42-9;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;250;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа250
Н7.0.3-2.42-10;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;280;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа280
Н7.0.3-2.42-11;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;300;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа300
Н7.0.3-2.42-12;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;315;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа315
Н7.0.3-2.42-13;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;355;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа355
Н7.0.3-2.42-14;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;400;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа400
Н7.0.3-2.45.1;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;450;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа450
Н7.0.3-2.45.2;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;500;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа500
Н7.0.3-2.45.3;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;560;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа560
Н7.0.3-2.45.4;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;600;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа600
Н7.0.3-2.45.5;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;630;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа630
Н7.0.3-2.45.6;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;710;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа710
Н7.0.3-2.45.7;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;800;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа800
Н7.0.3-2.45.8;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;900;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа900
Н7.0.3-2.45.9;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;1000;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа1000
Н7.0.3-2.45.10;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;1120;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа1120
Н7.0.3-2.45.11;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;1250;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа1250
Н7.0.3-5.1.1;Профлист;Горизонтальный;Потолок;Круглый;100;ПрофлистГоризонтальныйНетДа100
Н7.0.3-5.1.2;Профлист;Горизонтальный;Потолок;Круглый;125;ПрофлистГоризонтальныйНетДа125
Н7.0.3-5.1.3;Профлист;Горизонтальный;Потолок;Круглый;140;ПрофлистГоризонтальныйНетДа140
Н7.0.3-5.1.4;Профлист;Горизонтальный;Потолок;Круглый;150;ПрофлистГоризонтальныйНетДа150
Н7.0.3-5.1.5;Профлист;Горизонтальный;Потолок;Круглый;160;ПрофлистГоризонтальныйНетДа160
Н7.0.3-5.1.6;Профлист;Горизонтальный;Потолок;Круглый;180;ПрофлистГоризонтальныйНетДа180
Н7.0.3-5.1.7;Профлист;Горизонтальный;Потолок;Круглый;200;ПрофлистГоризонтальныйНетДа200
Н7.0.3-5.1.8;Профлист;Горизонтальный;Потолок;Круглый;224;ПрофлистГоризонтальныйНетДа224
Н7.0.3-5.1.9;Профлист;Горизонтальный;Потолок;Круглый;250;ПрофлистГоризонтальныйНетДа250
Н7.0.3-5.1.10;Профлист;Горизонтальный;Потолок;Круглый;280;ПрофлистГоризонтальныйНетДа280
Н7.0.3-5.1.11;Профлист;Горизонтальный;Потолок;Круглый;300;ПрофлистГоризонтальныйНетДа300
Н7.0.3-5.1.12;Профлист;Горизонтальный;Потолок;Круглый;315;ПрофлистГоризонтальныйНетДа315
Н7.0.3-5.1.13;Профлист;Горизонтальный;Потолок;Круглый;355;ПрофлистГоризонтальныйНетДа355
Н7.0.3-5.1.14;Профлист;Горизонтальный;Потолок;Круглый;400;ПрофлистГоризонтальныйНетДа400
Н7.0.3-5.2.1;Профлист;Горизонтальный;Потолок;Круглый;450;ПрофлистГоризонтальныйНетДа450
Н7.0.3-5.2.2;Профлист;Горизонтальный;Потолок;Круглый;500;ПрофлистГоризонтальныйНетДа500
Н7.0.3-5.2.3;Профлист;Горизонтальный;Потолок;Круглый;560;ПрофлистГоризонтальныйНетДа560
Н7.0.3-5.2.4;Профлист;Горизонтальный;Потолок;Круглый;600;ПрофлистГоризонтальныйНетДа600
Н7.0.3-5.2.5;Профлист;Горизонтальный;Потолок;Круглый;630;ПрофлистГоризонтальныйНетДа630
Н7.0.3-5.2.6;Профлист;Горизонтальный;Потолок;Круглый;710;ПрофлистГоризонтальныйНетДа710
Н7.0.3-5.2.7;Профлист;Горизонтальный;Потолок;Круглый;800;ПрофлистГоризонтальныйНетДа800
Н7.0.3-5.2.8;Профлист;Горизонтальный;Потолок;Круглый;900;ПрофлистГоризонтальныйНетДа900
Н7.0.3-5.2.9;Профлист;Горизонтальный;Потолок;Круглый;1000;ПрофлистГоризонтальныйНетДа1000
Н7.0.3-5.2.10;Профлист;Горизонтальный;Потолок;Круглый;1120;ПрофлистГоризонтальныйНетДа1120
Н7.0.3-5.2.11;Профлист;Горизонтальный;Потолок;Круглый;1250;ПрофлистГоризонтальныйНетДа1250
Н7.0.3-5.3.1;Профлист;Горизонтальный;Потолок;Прямоугольный;200;ПрофлистГоризонтальныйНетНет200
Н7.0.3-5.3.2;Профлист;Горизонтальный;Потолок;Прямоугольный;400;ПрофлистГоризонтальныйНетНет400
Н7.0.3-5.3.3;Профлист;Горизонтальный;Потолок;Прямоугольный;600;ПрофлистГоризонтальныйНетНет600
Н7.0.3-5.3.4;Профлист;Горизонтальный;Потолок;Прямоугольный;800;ПрофлистГоризонтальныйНетНет800
Н7.0.3-5.3.5;Профлист;Горизонтальный;Потолок;Прямоугольный;1000;ПрофлистГоризонтальныйНетНет1000
Н7.0.3-5.3.6;Профлист;Горизонтальный;Потолок;Прямоугольный;1200;ПрофлистГоризонтальныйНетНет1200
Н7.0.3-5.3.7;Профлист;Горизонтальный;Потолок;Прямоугольный;1400;ПрофлистГоризонтальныйНетНет1400
Н7.0.3-5.3.8;Профлист;Горизонтальный;Потолок;Прямоугольный;1600;ПрофлистГоризонтальныйНетНет1600
Н7.0.3-5.3.9;Профлист;Горизонтальный;Потолок;Прямоугольный;1800;ПрофлистГоризонтальныйНетНет1800
Н7.0.3-5.3.10;Профлист;Горизонтальный;Потолок;Прямоугольный;2000;ПрофлистГоризонтальныйНетНет2000
